' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.0745,44723.75968,149,-1.02,0.05,0.1,-1,0,0.03,-0.6,-0.6,-0.1
0.075,44723.75968,150,-0.93,0.15,0,-1,0.01,0.03,1.1,2.8,-1.6
0.0755,44723.75968,151,-0.93,-0.24,-0.2,-1.02,0,0.03,-0.7,-1.2,-1.6
0.076,44723.75968,152,-1.02,-0.05,0,-1,0,0.01,-1.5,-2.1,-2
0.0765,44723.75968,153,-0.73,0.15,-0.29,-1,0,0.02,-1.5,1.5,-1.5
0.077,44723.75968,154,-0.83,0.05,-0.1,-1,0,0.03,0.6,1.5,-3.8
0.0775,44723.75968,155,-1.12,-0.15,-0.1,-1,-0.01,0.05,-0.5,0.9,4
0.078,44723.75968,156,-1.02,-0.05,0.1,-1.02,0,0.04,2.3,-2.3,-0.1
0.0785,44723.75968,157,-0.83,-0.15,-0.1,-1.01,0,0.02,-2.2,2.1,0.4
0.079,44723.75968,158,-1.02,-0.05,-0.1,-1.01,0,0.03,0.9,1,-4.4
0.0795,44723.75968,159,-0.93,-0.05,-0.1,-1.01,0.01,0.02,1.5,0.9,0.5
0.08,44723.75968,160,-0.93,-0.05,-0.1,-0.99,0.01,0.05,0.4,2.9,0.2
0.0805,44723.75968,161,-0.83,0.15,0.1,-0.99,0,0.03,0.6,-0.2,1.8
0.081,44723.75968,162,-1.02,0.15,0,-0.99,0,0.03,0.5,-0.9,-0.5
0.0815,44723.75968,163,-1.02,-0.15,0,-1.01,0,0.02,-1.5,-0.2,-0.5
0.082,44723.75968,164,-0.73,-0.15,0.2,-1.01,0,0.02,-0.6,2.1,3
0.0825,44723.75968,165,-0.93,-0.24,0.1,-0.99,-0.01,0.03,1,0.1,1
0.083,44723.75968,166,-1.02,-0.05,0.2,-1,0,0.01,-1.7,1.3,-1.2
0.0835,44723.75968,167,-0.73,-0.05,0.1,-0.99,-0.01,0.03,0.4,2.8,-0.1
0.084,44723.75968,168,-0.63,-0.05,0,-1,-0.01,0.04,-2.1,0.9,-1.5
0.0845,44723.75968,169,-1.12,-0.15,0.39,-1,-0.01,0.04,1.2,1,-2.9
